Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-09-01,19.8,9.2,74.0,0.0
2017-09-02,18,8.4,80.9,0.0
2017-09-03,18.8,9.4,71.3,0.0
2017-09-04,19,8.8,80.9,0.0
2017-09-05,17.8,9.6,86.0,1.7
2017-09-06,18,10,80.1,0.0
2017-09-07,23,8,70.2,0.0
2017-09-08,22.4,8.6,72.1,8.6
2017-09-09,18.8,9.8,84.1,0.0
2017-09-10,18,10,92.5,4.8
2017-09-11,20,10.6,82.2,3.9
2017-09-12,17.4,10.8,87.2,0.7
2017-09-13,21.8,9.8,78.0,0.0
2017-09-14,19.6,10.4,79.8,0.7
2017-09-15,20,10.8,80.8,0.0
2017-09-16,17,11,83.9,0.0
2017-09-17,18,10.4,80.6,0.0
2017-09-18,20,10.6,69.9,0.0
2017-09-19,21.4,10,63.7,0.0
2017-09-20,22.8,10.2,65.7,0.0
2017-09-21,23.4,8,65.7,0.0
2017-09-22,22.6,8.4,69.7,0.0
2017-09-23,21,8.8,71.7,0.0
2017-09-24,18.6,9,79.2,0.0
2017-09-25,21.4,9.8,73.6,0.0
2017-09-26,21.6,10.4,76.1,0.0
2017-09-27,20,11.4,78.5,7.2
2017-09-28,21.2,11,79.1,2.9
2017-09-29,22.2,12,79.1,1.7
2017-09-30,21,10.4,79.0,0.4
