Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2018-12-01,25,9,55.2,0.0
2018-12-02,23.6,7.8,63.5,0.0
2018-12-03,22.8,7.6,73.2,0.0
2018-12-04,22.6,8,69.9,0.0
2018-12-05,22.8,7.6,62.3,0.0
2018-12-06,23,6.2,76.1,16.2
2018-12-07,18,6,88.2,4.8
2018-12-08,17.6,6.4,91.1,1.3
2018-12-09,17,7,87.7,1.5
2018-12-10,18.8,7.4,86.6,3.7
2018-12-11,16.8,8,87.6,12.5
2018-12-12,18,9,87.1,8.6
2018-12-13,18.2,9,88.8,1.3
2018-12-14,18,10.4,90.3,1.6
2018-12-15,16.6,10.4,91.1,6.7
2018-12-16,15.2,10.6,82.5,0.0
2018-12-17,16.8,10.8,91.2,6.3
2018-12-18,17,11,93.1,16.4
2018-12-19,18.4,10,93.2,6.7
2018-12-20,16,10.4,94.1,4.0
2018-12-21,16.8,11,88.0,3.2
2018-12-22,17,11.2,91.7,3.1
2018-12-23,15.6,10,92.3,1.2
2018-12-24,18,10.6,87.6,0.3
2018-12-25,21.4,10.8,81.4,0.0
2018-12-26,17,11.2,91.1,7.7
2018-12-27,17.4,11,90.3,0.8
2018-12-28,16,10.4,93.7,11.6
2018-12-29,18.2,10.4,86.2,0.0
2018-12-30,17,10.8,84.6,0.0
2018-12-31,17.6,10.8,82.0,0.0
2019-01-01,18.4,9.4,84.7,0.0
