Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-08-01,23,8.2,69.9,0.0
2017-08-02,21.4,8.2,70.7,0.0
2017-08-03,21,8.8,69.5,0.0
2017-08-04,22,6.4,69.7,0.0
2017-08-05,22.6,7.6,72.4,0.0
2017-08-06,23.2,8,67.3,0.0
2017-08-07,19.8,8.6,74.0,0.0
2017-08-08,22,8.8,72.8,0.0
2017-08-09,21,9.2,75.7,0.0
2017-08-10,21.4,9.4,77.3,0.0
2017-08-11,23.6,9.2,72.9,7.8
2017-08-12,21.8,9.8,80.1,7.0
2017-08-13,20.6,9.2,80.9,8.3
2017-08-14,19.8,10.2,76.4,0.0
2017-08-15,21,9.6,77.2,0.0
2017-08-16,22.8,9,75.1,5.7
2017-08-17,20.4,9.6,81.0,0.0
2017-08-18,22.2,9,79.8,13.3
2017-08-19,24.6,9.6,75.7,0.5
2017-08-20,20.6,9,90.8,22.8
2017-08-21,17,10,84.0,5.5
2017-08-22,17.2,10.4,83.0,0.0
2017-08-23,22.2,6,69.9,0.0
2017-08-24,19.6,6.4,72.4,0.0
2017-08-25,21.8,7.8,72.9,0.0
2017-08-26,18.2,8.2,82.0,0.0
2017-08-27,21.2,8.4,75.2,0.0
2017-08-28,16.4,9,91.7,5.5
2017-08-29,21,8.2,70.9,0.0
2017-08-30,21.4,8.6,73.4,0.0
2017-08-31,23.6,8.8,78.6,0.0
