Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2024-03-01,19,11,87.1,3.6
2024-03-02,18.8,11,87.8,2.5
2024-03-03,19.2,11.2,86.5,5.2
2024-03-04,20.4,11.6,90.7,5.2
2024-03-05,20.4,10.8,81.9,4.0
2024-03-06,21,9,87.5,7.7
2024-03-07,19.2,9.2,87.8,3.3
2024-03-08,19.4,9.6,87.0,4.7
2024-03-09,19.4,10,86.8,0.0
2024-03-10,20,10,86.2,0.4
2024-03-11,22.2,10.2,82.7,0.0
2024-03-12,19.6,11.4,84.3,0.0
2024-03-13,21.2,12,82.1,1.1
2024-03-14,20.2,11.6,84.4,0.8
2024-03-15,21.2,10.6,80.5,0.0
2024-03-16,21,11,86.9,3.0
2024-03-17,20.6,11,76.0,0.0
2024-03-18,20,11.2,85.8,1.2
2024-03-19,17.6,11.6,88.2,0.0
2024-03-20,22.6,11.6,73.7,0.0
2024-03-21,24.8,10.4,69.3,0.0
2024-03-22,20.6,11,81.9,1.3
2024-03-23,21,11,78.5,0.0
2024-03-24,23.6,11,77.7,0.0
2024-03-25,25.4,11.4,73.7,0.0
2024-03-26,23.6,11.2,72.2,0.0
2024-03-27,25,11.2,57.6,0.0
2024-03-28,24.6,10.4,69.2,0.0
2024-03-29,22,10,71.3,1.1
2024-03-30,22.6,10,77.2,0.0
2024-03-31,22,10,78.4,0.0
2024-04-01,18.8,10.6,86.7,8.1
