Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2021-02-01,8.150,8.100,8.050,8.020
2021-02-02,7.900,7.930,7.950,7.960
2021-02-03,8.060,8.090,8.100,8.140
2021-02-04,8.160,8.140,8.060,8.020
2021-02-05,7.810,7.800,7.780,7.760
2021-02-06,7.720,7.710,7.700,7.690
2021-02-07,7.650,7.650,7.630,7.630
2021-02-08,7.600,7.600,7.600,7.600
2021-02-09,7.620,7.630,7.660,7.680
2021-02-10,7.740,7.750,7.770,7.790
2021-02-11,7.830,7.850,7.860,7.880
2021-02-12,7.890,7.890,7.800,7.820
2021-02-13,8.010,8.060,8.080,8.090
2021-02-14,8.110,8.130,8.140,8.160
2021-02-15,8.190,8.210,8.230,8.270
2021-02-16,8.320,8.330,8.340,8.360
2021-02-17,8.380,8.390,8.400,8.400
2021-02-18,8.360,8.360,8.350,8.350
2021-02-19,8.350,8.330,8.320,8.270
2021-02-20,8.120,8.100,8.090,8.020
2021-02-21,7.980,7.960,7.930,7.890
2021-02-22,7.870,7.850,7.850,7.840
2021-02-23,7.820,7.760,7.750,7.700
2021-02-24,7.660,7.680,7.700,7.750
2021-02-25,7.820,7.860,7.880,7.890
2021-02-26,7.920,7.930,7.960,7.980
2021-02-27,8.060,8.090,8.110,8.130
2021-02-28,8.160,8.160,8.170,8.200
