Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2018-12-01,9.930,9.940,9.950,9.950
2018-12-02,9.900,9.890,9.850,9.850
2018-12-03,9.850,9.860,9.860,9.820
2018-12-04,9.800,9.760,9.750,9.750
2018-12-05,9.660,9.650,9.650,9.640
2018-12-06,9.600,9.590,9.590,9.580
2018-12-07,9.560,9.550,9.530,9.510
2018-12-08,9.430,9.410,9.380,9.360
2018-12-09,9.320,9.310,9.290,9.270
2018-12-10,9.250,9.250,9.240,9.250
2018-12-11,9.230,9.220,9.210,9.200
2018-12-12,9.150,9.140,9.140,9.110
2018-12-13,9.100,9.100,9.100,9.100
2018-12-14,9.320,9.350,9.370,9.420
2018-12-15,9.470,9.480,9.500,9.510
2018-12-16,9.490,9.490,9.460,9.450
2018-12-17,9.380,9.360,9.350,9.320
2018-12-18,9.270,9.260,9.250,9.250
2018-12-19,9.240,9.240,9.230,9.210
2018-12-20,9.220,9.220,9.200,9.170
2018-12-21,9.150,9.140,9.140,9.130
2018-12-22,9.190,9.200,9.220,9.260
2018-12-23,9.290,9.320,9.370,9.370
2018-12-24,9.400,9.420,9.420,9.430
2018-12-25,9.440,9.450,9.450,9.450
2018-12-26,9.440,9.430,9.430,9.420
2018-12-27,9.400,9.400,9.380,9.350
2018-12-28,9.260,9.250,9.210,9.180
2018-12-29,9.100,9.090,9.080,9.070
2018-12-30,9.020,9.010,9.010,8.980
2018-12-31,8.950,8.940,8.920,8.900
