Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2021-01-01,7.830,7.840,7.840,7.850
2021-01-02,7.860,7.870,7.870,7.870
2021-01-03,7.880,7.890,7.890,7.900
2021-01-04,7.920,7.980,8.100,8.130
2021-01-05,8.190,8.200,8.220,8.260
2021-01-06,8.300,8.310,8.330,8.350
2021-01-07,8.480,8.500,8.530,8.560
2021-01-08,8.620,8.640,8.660,8.700
2021-01-09,8.740,8.740,8.740,8.790
2021-01-10,8.810,8.850,8.870,8.890
2021-01-11,8.920,8.920,8.930,8.930
2021-01-12,8.940,8.920,8.900,8.900
2021-01-13,8.890,8.870,8.830,8.820
2021-01-14,8.800,8.790,8.780,8.760
2021-01-15,8.740,8.740,8.700,8.660
2021-01-16,8.600,8.560,8.520,8.480
2021-01-17,8.380,8.360,8.310,8.250
2021-01-18,8.190,8.160,8.100,8.070
2021-01-19,8.020,7.980,7.960,7.940
2021-01-20,7.910,7.890,7.870,7.840
2021-01-21,7.800,7.790,7.790,7.780
2021-01-22,7.750,7.740,7.760,7.760
2021-01-23,7.780,7.800,7.800,7.800
2021-01-24,7.810,7.810,7.810,7.820
2021-01-25,7.830,7.910,8.100,8.220
2021-01-26,8.290,8.310,8.350,8.370
2021-01-27,8.450,8.460,859.000,8.530
2021-01-28,8.650,8.660,8.660,8.660
2021-01-29,8.500,8.460,8.400,8.370
2021-01-30,8.370,8.370,8.380,8.380
2021-01-31,8.400,8.410,8.430,8.290
