Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2024-05-01,26.3,14.7,86.9,4.6
2024-05-02,25.1,15.2,94.0,5.1
2024-05-03,27,15.4,84.4,5.4
2024-05-04,26.1,18,90.8,5.0
2024-05-05,26.5,17,88.5,0.1
2024-05-06,27.1,16.1,81.2,4.2
2024-05-07,26.1,16.4,87.3,3.1
2024-05-08,27.4,18.2,88.8,5.4
2024-05-09,25.5,16.5,89.2,7.3
2024-05-10,24.2,16.7,89.8,11.1
2024-05-11,26.7,15.8,85.9,0.1
2024-05-12,28.3,16.6,78.0,5.1
2024-05-13,28,17.8,83.0,2.4
2024-05-14,23.6,17.7,90.5,1.1
2024-05-15,25.8,17.2,86.9,21.5
2024-05-16,26.4,15.9,83.3,0.1
2024-05-17,27.6,16,85.1,4.0
2024-05-18,27.2,17.6,87.7,27.2
2024-05-19,25.5,17.3,91.0,30.1
2024-05-20,24.9,16.2,85.9,5.6
2024-05-21,24.9,14.7,86.7,7.0
2024-05-22,26.6,14.9,86.4,3.0
2024-05-23,29.1,15.9,79.8,0.0
2024-05-24,28.8,16.7,81.9,8.3
2024-05-25,22.8,17.2,91.5,0.0
2024-05-26,24.2,16.9,88.3,5.3
2024-05-27,26.7,16.9,89.5,10.1
2024-05-28,27.2,16.5,79.9,0.0
2024-05-29,26.2,16.7,77.1,0.0
2024-05-30,26.3,17.2,77.0,0.0
2024-05-31,26.1,13.6,76.6,0.0
