Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-10-01,35.2,20.6,86.3,0.0
2017-10-02,34.8,21.2,83.2,0.0
2017-10-03,35.2,22.8,76.9,0.0
2017-10-04,36.2,22.6,91.7,5.7
2017-10-05,33.8,22.8,89.0,0.0
2017-10-06,34.4,22.2,88.5,0.0
2017-10-07,31.6,23.8,87.8,0.1
2017-10-08,34.6,22.6,85.2,0.0
2017-10-09,36.2,22,86.4,4.4
2017-10-10,34.8,23.6,85.3,0.0
2017-10-11,32.4,23.8,91.5,0.6
2017-10-12,34,22.2,87.7,0.0
2017-10-13,35,21.8,85.4,0.3
2017-10-14,35.2,24,93.3,0.0
2017-10-15,33.8,22.6,89.2,0.3
2017-10-16,31.4,23.6,90.0,0.0
2017-10-17,34.4,23.4,85.8,0.0
2017-10-18,33.4,24.2,84.2,0.0
2017-10-19,33.8,24.6,80.8,0.0
2017-10-20,34.8,23.6,86.5,0.0
2017-10-21,35.6,23.8,86.4,16.6
2017-10-22,31.2,23.2,96.0,9.0
2017-10-23,32,22.4,94.5,0.0
2017-10-24,33.6,23.6,92.3,0.0
2017-10-25,34.6,23.8,91.4,0.0
2017-10-26,33.6,24,89.1,0.0
2017-10-27,34.4,24.6,90.5,1.1
2017-10-28,33.8,23.4,90.2,0.0
2017-10-29,27.4,23,96.3,0.8
2017-10-30,34.2,21.6,94.1,0.0
2017-10-31,36,20.6,87.8,0.0
