Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2023-11-02,33.6,S/D,S/D,75.0
2023-11-03,35.3,S/D,S/D,34.7
2023-11-04,34.8,S/D,S/D,6.6
2023-11-05,33.2,S/D,S/D,10.8
2023-11-06,32.8,S/D,S/D,5.5
2023-11-07,33.4,S/D,S/D,0.0
2023-11-08,33.8,S/D,S/D,2.2
2023-11-09,33,S/D,S/D,5.1
2023-11-10,33.4,S/D,S/D,13.8
2023-11-11,34.2,S/D,S/D,28.7
2023-11-13,32.6,S/D,S/D,8.9
2023-11-14,33.6,S/D,S/D,1.4
2023-11-15,33.2,S/D,S/D,10.2
2023-11-16,31.8,S/D,S/D,6.0
2023-11-17,33.6,S/D,S/D,0.0
2023-11-18,34.2,S/D,S/D,0.0
2023-11-19,33.8,S/D,S/D,10.6
2023-11-20,34.6,S/D,S/D,2.7
2023-11-21,33,S/D,S/D,6.2
2023-11-22,34.4,S/D,S/D,12.0
2023-11-23,33.2,S/D,S/D,7.4
2023-11-24,32,S/D,S/D,11.5
2023-11-25,33.2,S/D,S/D,36.6
2023-11-26,31.2,S/D,S/D,14.3
2023-11-27,30.4,S/D,S/D,11.8
2023-11-28,33.2,S/D,S/D,15.3
2023-11-29,S/D,S/D,S/D,S/D
2023-12-01,31.4,22.4,94.0,0.0
