Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2022-08-01,28.8,S/D,S/D,6.5
2022-08-02,33.8,S/D,S/D,0.0
2022-08-03,34.2,S/D,S/D,3.6
2022-08-04,34,S/D,S/D,55.6
2022-08-05,33.6,S/D,S/D,13.4
2022-08-06,34.2,S/D,S/D,0.0
2022-08-07,34.6,S/D,S/D,0.0
2022-08-08,34.8,S/D,S/D,0.0
2022-08-09,34.6,S/D,S/D,0.0
2022-08-10,32.4,S/D,S/D,13.2
2022-08-11,27.2,S/D,S/D,0.0
2022-08-12,S/D,S/D,S/D,S/D
2022-08-13,34.2,S/D,S/D,0.0
2022-08-14,33.8,S/D,S/D,21.3
2022-08-15,32.4,S/D,S/D,0.0
2022-08-16,35.2,S/D,S/D,7.8
2022-08-17,35.4,S/D,S/D,0.7
2022-08-18,36.8,S/D,S/D,0.3
2022-08-19,31.4,S/D,S/D,107.0
2022-08-20,27.4,S/D,S/D,0.0
2022-08-21,27.8,S/D,S/D,0.0
2022-08-22,31.2,S/D,S/D,0.0
2022-08-23,32.8,S/D,S/D,0.0
2022-08-24,33.2,S/D,S/D,0.0
2022-08-25,33.6,S/D,S/D,0.0
2022-08-26,33.8,S/D,S/D,0.0
2022-08-27,33.8,S/D,S/D,0.0
2022-08-28,34.2,S/D,S/D,34.6
2022-08-29,33.8,S/D,S/D,0.0
2022-08-30,34.6,S/D,S/D,0.0
2022-08-31,33.8,S/D,S/D,10.9
2022-09-01,34.2,S/D,S/D,0.0
