Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-12-01,35.8,22.4,S/D,0.0
2025-12-02,35.6,24.6,S/D,0.0
2025-12-03,35.2,23.8,S/D,0.0
2025-12-04,33.6,24.8,S/D,0.0
2025-12-05,S/D,23.4,S/D,0.0
2025-12-06,S/D,24,S/D,0.0
2025-12-07,S/D,24.2,S/D,0.0
2025-12-08,S/D,23.2,S/D,21.3
2025-12-09,S/D,22.8,S/D,0.0
2025-12-10,36.2,22.6,S/D,4.4
2025-12-11,34.8,22.4,S/D,0.0
2025-12-12,34.4,22.6,S/D,23.3
2025-12-13,33.8,22.2,S/D,8.0
2025-12-14,35.4,24.4,S/D,0.0
2025-12-15,35.2,24.6,S/D,0.0
2025-12-16,34.4,24,S/D,2.8
2025-12-17,34.6,23.6,S/D,65.0
2025-12-18,27.2,22.6,S/D,18.0
2025-12-19,33.8,23.4,S/D,84.0
2025-12-20,34.6,22.4,S/D,0.0
2025-12-21,35,22.2,S/D,0.0
2025-12-22,36,23.4,S/D,0.0
2025-12-23,35.2,21.8,S/D,0.0
2025-12-24,34.8,23.2,S/D,0.0
2025-12-25,35.2,23.8,S/D,0.0
2025-12-26,35.6,23.6,S/D,0.0
2025-12-27,36,22.8,S/D,73.3
2025-12-28,31.4,21.8,S/D,63.6
2025-12-29,30.4,22,S/D,0.4
2025-12-30,32.2,21.2,S/D,14.6
2025-12-31,32.4,21.6,S/D,15.7
2026-01-01,33,21.4,S/D,31.4
