Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-02-01,4.400,4.350,4.300,4.250
2022-02-02,4.150,4.080,4.020,3.950
2022-02-03,3.850,3.780,3.750,3.700
2022-02-04,3.650,3.600,3.650,3.800
2022-02-05,4.020,4.200,4.200,4.120
2022-02-06,3.980,3.980,4.050,4.280
2022-02-07,5.320,5.550,5.600,5.500
2022-02-08,5.220,5.300,5.450,5.550
2022-02-09,5.340,5.250,5.150,5.100
2022-02-10,4.800,4.750,4.700,4.700
2022-02-11,4.720,4.740,4.800,5.080
2022-02-12,5.250,5.280,5.300,5.340
2022-02-13,5.500,5.520,5.550,5.680
2022-02-14,5.640,5.580,5.500,5.500
2022-02-15,5.850,5.900,5.900,5.950
2022-02-16,6.050,6.020,5.950,5.900
2022-02-17,5.750,5.650,5.600,5.580
2022-02-18,5.540,5.500,5.500,5.450
2022-02-19,5.320,5.250,5.200,5.150
2022-02-20,4.900,4.800,4.750,4.750
2022-02-21,4.700,4.680,4.660,4.660
2022-02-22,4.680,4.680,4.650,4.650
2022-02-23,4.750,4.750,4.850,4.950
2022-02-24,4.900,4.850,4.750,4.720
2022-02-25,4.680,4.650,4.620,4.620
2022-02-26,5.300,5.450,5.620,5.850
2022-02-27,6.700,6.850,7.050,7.180
2022-02-28,7.180,7.100,7.040,6.920
