Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-12-01,3.280,3.280,3.250,3.220
2022-12-02,3.220,3.200,3.180,3.150
2022-12-03,3.150,3.150,3.200,3.200
2022-12-04,3.220,3.250,3.280,3.300
2022-12-05,3.250,3.220,3.200,3.180
2022-12-06,3.150,3.120,3.100,3.080
2022-12-07,3.200,3.200,3.250,3.250
2022-12-08,3.280,3.280,3.260,3.220
2022-12-09,3.320,3.320,3.280,3.250
2022-12-10,3.400,3.500,3.550,3.650
2022-12-11,3.600,3.600,3.620,3.700
2022-12-12,4.500,4.350,4.250,4.150
2022-12-13,4.050,3.950,3.800,3.600
2022-12-14,3.550,3.520,3.500,3.480
2022-12-15,3.480,3.550,3.700,3.850
2022-12-16,4.050,3.900,3.780,3.820
2022-12-17,3.680,3.650,3.680,3.680
2022-12-18,3.600,3.550,3.620,3.750
2022-12-19,3.600,3.680,3.700,3.720
2022-12-20,3.600,3.550,3.520,3.520
2022-12-21,3.580,3.500,3.480,3.450
2022-12-22,3.400,3.380,3.350,3.320
2022-12-23,3.250,3.220,3.200,3.180
2022-12-24,3.180,3.220,3.250,3.320
2022-12-25,3.250,3.380,3.420,3.450
2022-12-26,3.550,3.300,3.250,3.200
2022-12-27,3.180,3.300,3.420,3.500
2022-12-28,3.620,3.620,3.600,3.580
2022-12-29,3.350,3.320,3.250,3.300
2022-12-30,3.150,3.150,3.800,3.200
2022-12-31,3.250,3.300,3.350,3.400
