Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2024-12-01,4.750,4.780,4.820,4.850
2024-12-02,4.800,4.750,4.700,4.650
2024-12-03,4.150,4.100,4.080,3.780
2024-12-04,3.850,3.800,3.750,3.650
2024-12-05,3.600,3.650,3.680,3.980
2024-12-06,4.600,4.650,4.620,4.580
2024-12-07,4.650,4.680,4.720,4.800
2024-12-08,5.100,5.600,5.950,5.980
2024-12-09,5.300,5.120,5.050,5.080
2024-12-10,5.080,5.050,4.950,4.920
2024-12-11,4.980,4.920,4.850,4.780
2024-12-12,4.650,4.680,4.680,4.650
2024-12-13,4.620,4.620,4.580,4.480
2024-12-14,4.320,4.380,4.650,4.750
2024-12-15,4.600,4.580,4.700,4.900
2024-12-16,5.280,5.180,5.100,5.020
2024-12-17,4.800,4.800,4.850,4.950
2024-12-18,4.980,5.020,5.050,5.080
2024-12-19,5.600,5.680,5.720,5.820
2024-12-20,6.040,6.150,6.400,6.650
2024-12-21,6.650,6.550,6.450,6.200
2024-12-22,5.550,5.400,5.200,5.120
2024-12-23,4.900,4.850,4.820,4.820
2024-12-24,5.300,5.350,5.480,5.500
2024-12-25,5.420,5.350,5.250,5.150
2024-12-26,4.850,4.820,4.780,4.750
2024-12-27,4.650,4.680,4.720,4.780
2024-12-28,5.750,5.950,6.050,6.200
2024-12-29,5.900,5.800,5.800,5.520
2024-12-30,5.680,5.750,5.800,5.850
2024-12-31,5.650,5.620,5.550,5.500
