Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2024-11-01,9.000,8.950,8.950,8.950
2024-11-02,9.000,9.000,8.900,8.900
2024-11-03,9.350,9.300,9.200,9.150
2024-11-04,9.200,9.150,9.100,9.100
2024-11-05,9.100,9.100,9.050,9.050
2024-11-06,9.350,9.300,9.250,9.250
2024-11-07,9.200,9.200,9.150,9.150
2024-11-08,9.250,9.200,9.100,9.100
2024-11-09,9.000,9.000,8.950,8.950
2024-11-10,9.200,9.200,9.150,9.100
2024-11-11,9.000,9.000,9.000,9.000
2024-11-12,9.750,9.700,9.600,9.600
2024-11-13,10.100,10.000,9.500,9.400
2024-11-14,9.300,9.250,9.600,9.500
2024-11-15,9.300,9.300,9.200,9.200
2024-11-16,9.500,9.500,9.300,9.300
2024-11-17,9.300,9.250,9.400,9.500
2024-11-18,10.050,10.000,9.900,9.900
2024-11-19,9.900,9.900,9.800,9.750
2024-11-20,9.700,9.650,9.550,9.550
2024-11-21,9.700,9.750,11.600,11.400
2024-11-22,10.500,10.400,10.400,10.100
2024-11-23,11.300,11.200,11.000,11.000
2024-11-24,10.550,10.500,10.300,10.250
2024-11-25,10.000,9.950,9.950,9.900
2024-11-26,9.900,9.900,10.400,10.450
2024-11-27,10.850,10.900,10.600,10.500
2024-11-28,10.300,10.300,10.500,10.600
2024-11-29,10.800,10.800,10.700,10.600
2024-11-30,11.200,11.100,11.000,11.000
