Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-04-01,10.200,10.150,10.150,10.000
2022-04-02,10.100,10.000,10.000,9.990
2022-04-03,9.980,9.980,9.970,9.950
2022-04-04,10.000,10.300,10.250,10.300
2022-04-05,10.200,10.150,10.150,10.100
2022-04-06,10.100,10.100,10.000,10.000
2022-04-07,10.000,10.150,10.000,10.000
2022-04-08,10.300,10.300,10.400,10.500
2022-04-09,10.200,10.150,10.200,10.200
2022-04-10,10.200,10.300,10.400,10.400
2022-04-11,10.300,10.200,10.300,10.250
2022-04-12,9.980,9.980,9.980,10.000
2022-04-13,12.500,12.200,11.400,11.000
2022-04-14,10.500,10.500,10.100,10.100
2022-04-15,10.000,10.000,9.990,9.980
2022-04-16,9.950,9.900,9.850,9.850
2022-04-17,9.900,9.940,9.850,9.800
2022-04-18,9.500,9.400,9.300,9.200
2022-04-19,9.300,9.200,9.100,9.150
2022-04-20,9.200,9.150,9.100,9.100
2022-04-21,9.200,9.200,9.200,9.100
2022-04-22,9.200,9.150,9.100,9.000
2022-04-23,10.000,10.400,10.350,10.300
2022-04-24,10.300,10.400,10.200,10.000
2022-04-25,9.200,9.100,9.200,9.150
2022-04-26,9.100,9.100,9.100,9.000
2022-04-27,9.000,9.100,9.050,9.100
2022-04-28,9.300,9.200,9.150,9.150
2022-04-29,9.600,9.600,9.550,9.500
2022-04-30,9.800,9.500,9.500,9.400
