Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-08-01,33.2,20,81.4,0.0
2017-08-02,33.5,19.4,78.6,0.0
2017-08-03,30.5,19.8,87.3,2.8
2017-08-04,28.5,20,88.6,0.9
2017-08-05,29.2,22,86.4,0.0
2017-08-06,32.5,21.8,81.3,2.5
2017-08-07,29,21.4,90.4,5.0
2017-08-08,32,20.5,83.1,0.0
2017-08-09,29.4,21,86.1,1.0
2017-08-10,32.4,21.2,82.8,2.0
2017-08-11,33.5,20,81.0,0.0
2017-08-12,33.2,20.6,81.7,0.8
2017-08-13,29.2,21.8,89.9,14.4
2017-08-14,31.5,21.2,84.4,0.0
2017-08-15,33.5,19.2,80.4,0.0
2017-08-16,33.5,20,82.1,0.0
2017-08-17,30.8,20.8,84.2,0.5
2017-08-18,33.8,20.6,78.0,0.0
2017-08-19,33.2,20.8,77.0,0.0
2017-08-20,33.6,21.8,83.3,16.5
2017-08-21,26,21.4,92.9,33.6
2017-08-22,26.4,20.5,89.6,1.2
2017-08-23,32.6,20.4,81.0,0.0
2017-08-24,33.2,20.8,79.6,0.0
2017-08-25,32.8,20.2,83.6,3.8
2017-08-26,30.6,20.5,87.8,0.0
2017-08-27,32.8,20.2,82.2,26.0
2017-08-28,27.5,20.8,96.1,33.6
2017-08-29,31.7,19.8,83.9,0.0
2017-08-30,32,20,82.5,6.0
2017-08-31,31,20.6,84.5,7.6
2017-09-01,28.6,21,88.0,16.9
