Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-09-01,28.6,21,88.0,16.9
2017-09-02,31.8,21.6,87.4,0.0
2017-09-03,29,21.6,88.6,14.1
2017-09-04,29.6,20.4,86.7,0.0
2017-09-05,32,20.8,84.3,0.0
2017-09-06,30.4,21.2,86.1,0.0
2017-09-07,34,21.2,79.2,0.0
2017-09-08,34,21.4,79.3,7.4
2017-09-09,29,21.8,88.6,4.8
2017-09-10,32.2,22,86.6,0.0
2017-09-11,32.2,21.8,83.9,0.0
2017-09-12,32.5,21.8,74.9,0.0
2017-09-13,30.7,21,86.4,2.1
2017-09-14,31.2,20.8,80.6,0.0
2017-09-15,29.4,21.2,89.5,1.7
2017-09-16,31.7,21.6,88.6,10.0
2017-09-17,28.8,21.6,89.0,8.6
2017-09-18,32,21.8,83.1,5.8
2017-09-19,31.5,22.2,80.8,0.0
2017-09-20,33.5,21.4,79.9,0.0
2017-09-21,34,21.5,76.7,0.0
2017-09-22,31.4,21.8,85.9,0.5
2017-09-23,29.8,21.4,83.5,0.0
2017-09-24,28.7,21.8,88.2,14.6
2017-09-25,30.4,21.8,87.7,8.6
2017-09-26,29.4,21,87.0,0.0
2017-09-27,31.4,21,84.1,0.0
2017-09-28,34,21.2,77.8,0.0
2017-09-29,30.5,22,88.0,0.8
2017-09-30,30.7,22.4,85.4,14.0
2017-10-01,33.7,20.2,80.4,0.0
