Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2017-01-01,114.350,114.350,114.350,114.350
2017-01-02,114.360,114.370,114.380,114.410
2017-01-03,114.500,114.530,114.580,114.600
2017-01-04,114.750,114.810,114.860,114.920
2017-01-05,115.000,115.140,115.200,115.260
2017-01-06,115.400,115.450,115.490,115.570
2017-01-07,115.710,115.780,115.810,115.870
2017-01-08,115.950,115.990,116.040,116.040
2017-01-09,116.130,116.150,116.160,116.190
2017-01-10,116.270,116.300,116.320,116.350
2017-01-11,116.490,116.620,116.650,116.680
2017-01-12,116.680,116.660,116.670,116.690
2017-01-13,116.720,116.720,116.730,116.740
2017-01-14,116.910,116.940,116.970,116.980
2017-01-15,117.030,117.050,117.060,117.080
2017-01-16,117.130,117.130,117.150,117.170
2017-01-17,117.210,117.210,117.210,117.210
2017-01-18,117.240,117.250,117.290,117.290
2017-01-19,117.300,117.300,117.310,117.310
2017-01-20,117.310,117.310,117.320,117.370
2017-01-21,117.390,117.400,117.400,117.400
2017-01-22,117.420,117.450,117.450,117.450
2017-01-23,117.470,117.480,117.470,117.460
2017-01-24,117.460,117.480,117.480,117.490
2017-01-25,117.470,117.470,117.490,117.480
2017-01-26,117.500,117.480,117.480,117.480
2017-01-27,117.470,117.480,117.480,117.480
2017-01-28,117.530,117.530,117.530,117.530
2017-01-29,117.530,117.530,117.530,117.530
2017-01-30,117.550,117.550,117.550,117.530
2017-01-31,117.530,117.530,117.550,117.550
