Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-10-01,2.590,2.670,2.750,2.840
2025-10-02,2.880,2.870,2.860,2.860
2025-10-03,2.900,2.910,2.910,2.920
2025-10-04,2.950,2.970,3.030,3.100
2025-10-05,3.090,3.110,3.130,3.150
2025-10-06,3.170,3.160,3.140,3.150
2025-10-07,3.140,3.150,3.170,3.200
2025-10-08,3.250,3.270,3.290,3.320
2025-10-09,3.370,3.390,3.410,3.420
2025-10-10,3.430,3.440,3.440,3.450
2025-10-11,3.430,3.430,3.440,3.430
2025-10-12,3.410,3.410,3.400,3.390
2025-10-13,3.360,3.360,3.370,3.370
2025-10-14,3.360,3.350,3.340,3.330
2025-10-15,3.360,3.380,3.390,3.420
2025-10-16,3.500,3.520,3.540,3.600
2025-10-17,3.670,3.690,3.750,3.770
2025-10-18,3.790,3.810,3.820,3.830
2025-10-19,3.830,3.840,3.860,3.890
2025-10-20,3.880,3.870,3.880,3.900
2025-10-21,3.940,3.960,3.980,4.010
2025-10-22,4.100,4.140,4.190,4.220
2025-10-23,4.280,4.310,4.330,4.340
2025-10-24,4.420,4.410,4.420,4.430
2025-10-25,4.460,4.450,4.470,4.460
2025-10-26,4.450,4.440,4.430,4.420
2025-10-27,4.420,4.410,4.410,4.440
2025-10-28,4.430,4.440,4.450,4.460
2025-10-29,4.540,4.550,4.560,4.580
2025-10-30,4.640,4.650,4.670,4.680
2025-10-31,4.660,4.650,4.650,4.660
