Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-07-01,25.2,17.2,95.6,9.4
2025-07-02,24,17,97.1,2.6
2025-07-03,25.6,16.8,96.0,0.0
2025-07-04,27,16.4,95.8,0.0
2025-07-05,28.4,16,95.3,0.0
2025-07-06,29,15.8,94.7,0.0
2025-07-07,29.4,15.6,94.4,0.0
2025-07-08,28,16,96.2,0.0
2025-07-09,28.2,16.2,94.7,0.0
2025-07-10,28.4,16.8,96.3,0.0
2025-07-11,27.2,16.6,96.1,0.0
2025-07-12,26.6,17,95.5,0.0
2025-07-13,27.4,17.2,95.2,0.0
2025-07-14,28.4,16.8,94.2,0.0
2025-07-15,27,17.4,95.7,0.0
2025-07-16,28,17.6,94.8,0.0
2025-07-17,25,17.8,96.7,0.0
2025-07-18,23,17.4,96.6,3.8
2025-07-19,23.8,17,96.1,0.0
2025-07-20,26.2,16.6,94.6,0.0
2025-07-21,28.2,17,95.8,0.0
2025-07-22,28.6,16.8,94.2,0.0
2025-07-23,28,16.2,96.8,0.0
2025-07-24,27.6,17,96.2,1.4
2025-07-25,24.6,17.2,96.7,0.0
2025-07-26,28.8,17.6,95.9,0.0
2025-07-27,26.4,17.8,94.1,0.0
2025-07-28,25,17.2,96.6,0.0
2025-07-29,25.6,17.6,96.7,0.0
2025-07-30,26.4,18,96.8,0.0
2025-07-31,26,18.2,96.7,0.0
2025-08-01,27.6,17.8,95.7,S/D
