Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-08-01,S/D,23.4,S/D,2.0
2025-08-02,S/D,23,S/D,2.5
2025-08-03,S/D,23,S/D,0.0
2025-08-04,S/D,23.2,S/D,8.2
2025-08-05,S/D,23.4,S/D,40.8
2025-08-06,S/D,22.4,S/D,0.0
2025-08-07,S/D,22.6,S/D,0.0
2025-08-08,S/D,23.4,S/D,0.0
2025-08-09,S/D,23.2,S/D,18.9
2025-08-10,S/D,22,S/D,0.0
2025-08-11,S/D,22.4,S/D,0.0
2025-08-12,S/D,23,S/D,0.0
2025-08-13,S/D,23.6,S/D,2.0
2025-08-14,S/D,23.4,S/D,25.8
2025-08-15,S/D,23,S/D,23.8
2025-08-16,S/D,22.6,S/D,0.0
2025-08-17,S/D,23.4,S/D,3.4
2025-08-18,S/D,22.6,S/D,0.0
2025-08-19,S/D,24.4,S/D,0.0
2025-08-20,S/D,24.2,S/D,0.0
2025-08-21,S/D,24.4,S/D,0.0
2025-08-22,S/D,24.2,S/D,0.0
2025-08-23,S/D,24,S/D,0.0
2025-08-24,S/D,24.2,S/D,0.0
2025-08-25,S/D,23.6,S/D,2.0
2025-08-26,S/D,23.4,S/D,0.0
2025-08-27,S/D,23,S/D,0.0
2025-08-28,S/D,22.6,S/D,0.0
2025-08-29,S/D,23.4,S/D,10.4
2025-08-30,S/D,23,S/D,0.0
2025-08-31,S/D,24.4,S/D,0.0
2025-09-01,S/D,24.6,S/D,12.3
