Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2024-11-01,7.550,7.350,7.260,7.150
2024-11-02,7.100,7.100,7.090,7.070
2024-11-03,7.090,7.090,7.030,7.000
2024-11-04,7.050,7.130,7.240,7.300
2024-11-05,7.450,7.300,7.200,7.080
2024-11-06,7.080,7.070,7.030,7.030
2024-11-07,7.000,6.970,6.910,6.850
2024-11-08,6.700,6.780,6.850,6.910
2024-11-09,6.960,6.960,6.960,6.970
2024-11-10,6.980,6.980,6.920,6.900
2024-11-11,7.000,7.020,6.990,6.970
2024-11-12,7.040,7.070,7.100,7.110
2024-11-13,7.160,7.160,7.150,7.170
2024-11-14,7.120,7.120,7.120,7.100
2024-11-15,7.070,7.070,7.100,7.130
2024-11-16,7.210,7.180,7.150,7.090
2024-11-17,7.000,6.980,6.910,6.910
2024-11-18,7.140,7.140,7.140,7.140
2024-11-19,7.080,7.060,7.000,6.980
2024-11-20,6.960,6.960,6.960,6.970
2024-11-21,6.900,6.920,6.920,6.940
2024-11-22,7.000,7.000,7.060,7.090
2024-11-23,7.110,7.110,7.120,7.140
2024-11-24,7.160,7.190,7.220,7.260
2024-11-25,7.320,7.350,7.350,7.340
2024-11-26,7.340,7.360,7.360,7.380
2024-11-27,7.390,7.430,7.430,7.440
2024-11-28,7.460,7.440,7.420,7.400
2024-11-29,7.400,7.400,7.380,7.360
2024-11-30,7.360,7.360,7.360,7.370
