Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-09-01,35,22.5,85.3,0.0
2017-09-02,33.2,24,91.7,0.0
2017-09-03,35.6,23.5,88.0,0.0
2017-09-04,37.7,23.5,85.9,0.0
2017-09-05,36,25,90.7,0.0
2017-09-06,31.8,21.5,87.4,0.0
2017-09-07,35,22.5,89.7,0.0
2017-09-08,35,23.5,88.1,1.8
2017-09-09,34,21.5,90.8,0.0
2017-09-10,35.4,21.5,90.4,0.0
2017-09-11,33.6,22,91.0,7.4
2017-09-12,25.6,22.5,96.2,0.0
2017-09-13,30.2,20.5,91.0,0.0
2017-09-14,31.4,22.5,95.8,0.0
2017-09-15,30.8,23.5,91.7,0.0
2017-09-16,31.8,23,95.1,0.0
2017-09-17,29.8,18.5,92.6,0.0
2017-09-18,32.6,18,89.5,0.0
2017-09-19,35.2,18.5,88.8,0.0
2017-09-20,35.8,21,86.7,0.0
2017-09-21,37.2,23,86.6,0.0
2017-09-22,34,24.5,90.3,2.3
2017-09-23,31,23.5,91.2,0.0
2017-09-24,30,22,92.5,0.0
2017-09-25,35.6,22,87.5,0.0
2017-09-26,35,23.5,90.8,8.0
2017-09-27,28.8,22,95.8,0.0
2017-09-28,29.8,22,95.9,0.0
2017-09-29,30,22,91.6,0.0
2017-09-30,32.2,21.5,90.7,0.0
2017-10-01,36.4,26,90.5,0.0
