Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-10-01,3.310,3.310,3.310,3.310
2023-10-02,3.290,3.320,3.340,3.360
2023-10-03,3.440,3.470,3.500,3.550
2023-10-04,3.690,3.740,3.780,3.840
2023-10-05,3.920,3.940,3.960,3.980
2023-10-06,4.060,4.090,4.120,4.140
2023-10-07,4.160,4.180,4.200,4.220
2023-10-08,4.270,4.290,4.300,4.330
2023-10-09,4.370,4.370,4.380,4.380
2023-10-10,4.400,4.400,4.400,4.400
2023-10-11,4.420,4.440,4.470,4.500
2023-10-12,4.550,4.590,4.630,4.680
2023-10-13,4.760,4.790,4.840,4.890
2023-10-14,4.960,5.080,5.150,5.230
2023-10-15,5.340,5.450,5.610,5.670
2023-10-16,5.690,5.740,5.740,5.720
2023-10-17,5.710,5.690,5.640,5.600
2023-10-18,5.550,5.470,5.440,5.370
2023-10-19,5.200,5.160,5.120,5.080
2023-10-20,4.980,4.970,4.960,4.980
2023-10-21,4.920,4.920,4.920,4.920
2023-10-22,4.910,4.900,4.890,4.880
2023-10-23,4.850,4.830,4.800,4.770
2023-10-24,4.720,4.680,4.660,4.630
2023-10-25,4.580,4.550,4.520,4.490
2023-10-26,4.440,4.420,4.400,4.380
2023-10-27,4.330,4.300,4.280,4.250
2023-10-28,4.200,4.180,4.150,4.120
2023-10-29,4.070,4.060,4.050,4.040
2023-10-30,3.930,3.930,3.930,3.930
2023-10-31,3.920,3.940,3.960,3.990
