FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-06-01,6.530,6.530,6.540,6.550
2023-06-02,6.590,6.600,6.620,6.640
2023-06-03,6.660,6.660,6.660,6.660
