Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2018-04-01,34.4,22.4,75.7,0.0
2018-04-02,31.6,22.4,82.8,20.0
2018-04-03,25.2,20.8,92.9,23.9
2018-04-04,31.2,20.6,81.4,0.0
2018-04-05,33.4,22.6,79.0,0.8
2018-04-06,32.6,22.8,84.1,0.4
2018-04-07,32.4,22.4,82.9,0.0
2018-04-08,28.8,22.2,87.3,9.2
2018-04-09,32.4,21.6,83.5,0.0
2018-04-10,33.2,22,80.8,0.0
2018-04-11,34,21.4,82.0,0.0
2018-04-12,35.2,23.2,79.0,0.1
2018-04-13,30.8,21.8,84.8,9.0
2018-04-14,30.6,21.6,84.8,4.9
2018-04-15,31.2,22,84.6,4.0
2018-04-16,28.4,21.6,85.8,1.1
2018-04-17,29.8,20.8,90.5,8.6
2018-04-18,32.4,22,86.4,5.2
2018-04-19,27,21.8,89.0,3.0
2018-04-20,31.4,20.8,84.4,4.6
2018-04-21,31,21,86.0,0.1
2018-04-22,30.6,21,87.4,2.4
2018-04-23,33.6,21.8,82.8,0.0
2018-04-24,30.6,22.8,86.3,7.8
2018-04-25,29.2,22,86.4,4.6
2018-04-26,33.2,21.6,84.4,9.2
2018-04-27,32.4,22.4,84.3,21.2
2018-04-28,33.8,21.8,85.3,32.0
2018-04-29,32.4,21.2,84.8,1.0
2018-04-30,31.4,22,86.6,0.9
