Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-01-01,27.2,22.6,92.6,111.9
2025-01-02,32.2,22.8,88.3,76.4
2025-01-03,32,23.2,86.2,3.7
2025-01-04,32.2,23,84.8,10.7
2025-01-05,33.6,22.6,82.0,0.0
2025-01-06,31.6,23.8,88.1,7.2
2025-01-07,33.4,24.4,93.1,0.0
2025-01-08,32.6,24,89.8,9.7
2025-01-09,33.4,23.6,88.6,0.0
2025-01-10,33.2,24,89.4,30.2
2025-01-11,32.6,23.8,92.7,0.0
2025-01-12,33.8,23.2,83.9,18.6
2025-01-13,31,23.6,91.9,38.8
2025-01-14,33.2,23.2,89.7,0.0
2025-01-15,34.8,24.2,84.3,0.0
2025-01-16,34.4,24.6,85.6,0.0
2025-01-17,35.8,24.4,85.3,0.0
2025-01-18,34.6,24,83.6,0.0
2025-01-19,35,24.6,80.1,0.0
2025-01-20,35.4,25,87.5,1.7
2025-01-21,33.8,24.6,89.5,36.4
2025-01-22,29,22.6,95.8,3.5
2025-01-23,31.2,22,92.8,3.1
2025-01-24,31.6,23.2,92.1,0.0
2025-01-25,29.6,23.4,91.1,23.9
2025-01-26,32.6,22.8,86.2,0.0
2025-01-27,31.6,23,91.7,1.9
2025-01-28,32.8,23.8,89.5,6.7
2025-01-29,30.2,23.6,94.3,16.2
2025-01-30,33.4,23.2,89.4,0.0
2025-01-31,32.2,24.4,91.2,37.1
