Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2024-02-01,33.4,23.2,84.2,3.7
2024-02-02,33.6,24,84.1,10.8
2024-02-03,32.6,23.4,85.7,6.4
2024-02-04,31.4,23.6,92.7,53.6
2024-02-05,32.4,23.2,85.7,15.1
2024-02-06,31.4,22.4,88.7,5.3
2024-02-07,32.6,23.2,87.5,5.7
2024-02-08,33.4,23.8,79.0,0.0
2024-02-09,34.2,23.6,83.8,4.1
2024-02-10,35,23.2,84.2,102.7
2024-02-11,30.8,21.8,87.3,25.6
2024-02-12,31.4,22.2,87.3,0.0
2024-02-13,31.2,23,91.3,46.6
2024-02-14,30.4,23.4,87.4,13.0
2024-02-15,30,23.2,89.8,14.3
2024-02-16,29.8,22.8,89.5,4.6
2024-02-17,34.4,23.4,79.4,0.0
2024-02-18,31.2,23.6,87.9,32.7
2024-02-19,34,24.2,79.6,0.0
2024-02-20,32.8,24,84.4,0.0
2024-02-21,35.6,24.4,75.7,0.0
2024-02-22,36,24.6,73.0,0.0
2024-02-23,36.4,25.4,77.9,0.0
2024-02-24,35.6,25,74.9,2.1
2024-02-25,27.4,23.8,94.2,7.4
2024-02-26,33.4,22.6,79.1,0.0
2024-02-27,30.4,23,92.0,28.4
2024-02-28,32,23.2,86.8,0.0
2024-02-29,33.2,22.4,82.0,35.7
