Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2018-11-01,33.2,22.4,84.3,65.9
2018-11-02,30.2,21.6,86.9,0.0
2018-11-03,33.6,23.2,80.1,3.6
2018-11-04,34.8,22.6,81.0,0.0
2018-11-05,34.4,23.8,79.1,0.0
2018-11-06,29.6,23.2,86.6,0.0
2018-11-07,33.6,21,83.0,8.2
2018-11-08,31.4,22.4,83.6,0.0
2018-11-09,31.8,23,85.2,0.0
2018-11-10,33.6,23.8,86.6,16.3
2018-11-11,34.2,24.2,84.8,9.2
2018-11-12,33.2,22.8,85.9,0.0
2018-11-13,34.8,24.2,83.7,19.9
2018-11-14,32.2,22,83.8,5.1
2018-11-15,34.4,23.2,82.1,0.0
2018-11-16,35.2,22.6,82.4,17.2
2018-11-17,33.6,23.2,82.2,0.0
2018-11-18,32.4,23.6,81.5,21.4
2018-11-19,33.2,24,85.5,37.1
2018-11-20,30.8,23.2,86.9,0.0
2018-11-21,31.2,23.4,85.3,12.9
2018-11-22,32.2,22.8,85.1,0.0
2018-11-23,34.2,23.2,84.7,30.4
2018-11-24,29.4,21.4,88.8,11.4
2018-11-25,33.2,22.8,84.9,115.7
2018-11-26,32.6,23.2,87.6,13.9
2018-11-27,32.2,22.4,84.5,0.0
2018-11-28,32.8,22,83.2,0.0
2018-11-29,31.6,22.6,86.5,24.8
2018-11-30,33.2,23,84.5,2.6
